Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Angle(deg),I_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),Ox_Mass(kg),Thrust(N)
-0.9989957031248196,49.087322,1.03281,1.113797,1.13542,0.0,0.0,0.0,0.0,0.0,48.217018,187.471817,6.083503465851172,32.477528
-0.993474707031055,49.107685,1.031362,1.085018,1.114006,0.0,0.0,0.0,0.0,0.0,48.219883,187.580429,6.070675739041793,31.959017
-0.988299658203232,49.09454,1.052636,1.068334,1.141302,0.0,0.0,0.0,0.0,0.0,48.270561,187.485855,6.072100611620795,33.514545
-0.9824837402343292,49.05476,1.016946,1.038055,1.146537,0.0,0.0,0.0,0.0,0.0,48.209339,187.433472,6.069250968399593,33.608818
-0.976483740234471,49.062439,1.032008,1.06542,1.120027,0.0,0.0,0.0,0.0,0.0,48.221939,187.463287,6.0649735983690105,32.807487
-0.9706597656249869,49.093231,0.998587,1.065786,1.156904,0.0,0.0,0.0,0.0,0.0,48.241627,187.489807,6.104884403669724,31.959017
-0.9653978027345147,49.07637,1.011065,1.070795,1.125106,0.0,0.0,0.0,0.0,0.0,48.266338,187.403488,6.057848114169215,33.325996
-0.9594439453126142,49.082283,1.04117,1.04336,1.105647,0.0,0.0,0.0,0.0,0.0,48.217247,187.473587,6.067824668705403,32.524662
-0.9534988769528354,49.105122,1.064905,1.138125,1.099364,0.0,0.0,0.0,0.0,0.0,48.219025,187.540207,6.087779306829765,31.629057
-0.9484468749997177,49.081902,1.032688,1.108387,1.13446,0.0,0.0,0.0,0.0,0.0,48.213757,187.451599,6.036467176350664,33.23172
-0.9424839843750306,49.044334,1.030489,1.096589,1.110865,0.0,0.0,0.0,0.0,0.0,48.192116,187.424774,6.086354536187562,32.666073
-0.9364839843747177,49.076096,1.032322,1.061563,1.137968,0.0,0.0,0.0,0.0,0.0,48.192497,187.507828,6.106309174311927,30.780586
-0.9296041015622905,49.078682,1.018535,1.075437,1.118317,0.0,0.0,0.0,0.0,0.0,48.164173,187.478119,6.062124057084607,32.713211
-0.9244839843750015,49.087341,1.059006,1.086956,1.127514,0.0,0.0,0.0,0.0,0.0,48.23222,187.351532,6.08207869520897,33.23172
-0.9184849609373487,49.096081,1.032217,1.139469,1.105699,0.0,0.0,0.0,0.0,0.0,48.200703,187.471069,6.107735474006117,32.194702
-0.9124991210937878,49.105732,1.029425,1.113692,1.09898,0.0,0.0,0.0,0.0,0.0,48.209446,187.526611,6.084929765545362,32.524662
-0.9074390625000888,49.081661,1.03309,1.055978,1.103867,0.0,0.0,0.0,0.0,0.0,48.176861,187.384979,6.116287257900101,32.666073
-0.9014852050781883,49.07254,1.047662,1.127392,1.117759,0.0,0.0,0.0,0.0,0.0,48.255745,187.431549,6.070675739041793,32.524662
-0.8954991210935077,49.135422,1.031676,1.033412,1.105263,0.0,0.0,0.0,0.0,0.0,48.285118,187.551193,6.0663998980632,32.90176
-0.890484228515561,49.114384,1.032776,1.008316,1.12652,0.0,0.0,0.0,0.0,0.0,48.176529,187.44899,6.006534454638124,33.090309
-0.8854612792965781,49.080536,1.033002,1.083361,1.121389,0.0,0.0,0.0,0.0,0.0,48.211678,187.360382,6.062124057084607,33.043171
-0.8794173339842928,49.099232,1.03192,1.155403,1.101668,0.0,0.0,0.0,0.0,0.0,48.271786,187.528534,6.035040876656474,33.750229
-0.8734512695309604,49.124897,1.047296,1.063151,1.128527,0.0,0.0,0.0,0.0,0.0,48.277493,187.537216,6.0649735983690105,32.24184
-0.8682923339843001,49.110695,1.031781,1.011161,1.1372,0.0,0.0,0.0,0.0,0.0,48.24625,187.466812,6.072100611620795,32.524662
-0.8629683593749178,49.052197,1.060996,1.08083,1.119172,0.0,0.0,0.0,0.0,0.0,48.246914,187.435928,6.036467176350664,32.760349
-0.8574852050778645,49.085957,1.031886,1.085455,1.095786,0.0,0.0,0.0,0.0,0.0,48.247108,187.467285,6.076376452599388,32.10043
-0.8523172363279627,49.119652,1.032793,1.069346,1.094128,0.0,0.0,0.0,0.0,0.0,48.245937,187.546661,6.057848114169215,31.770468
-0.8453924316404482,49.085621,1.0185,1.056519,1.088317,0.0,0.0,0.0,0.0,0.0,48.240841,187.367264,6.09490632008155,32.666073
-0.8394844726562951,49.09692,1.031659,1.084582,1.106694,0.0,0.0,0.0,0.0,0.0,48.2444,187.487717,6.052145973496433,32.524662
-0.8334834960937769,49.113075,1.061606,1.120062,1.145525,0.0,0.0,0.0,0.0,0.0,48.246967,187.536636,6.042167787971456,32.618938
-0.8265645507813133,49.073284,1.031659,1.016693,1.114687,0.0,0.0,0.0,0.0,0.0,48.224716,187.36882,6.102033333333334,32.713211
-0.8214334472654627,49.063835,1.051537,1.058596,1.147392,0.0,0.0,0.0,0.0,0.0,48.312553,187.435608,6.035040876656474,33.043171
-0.8154854492186132,49.118866,1.036091,1.020288,1.114827,0.0,0.0,0.0,0.0,0.0,48.254524,187.541916,6.042167787971456,32.147564
-0.809338476562516,49.100727,1.050838,1.058526,1.121738,0.0,0.0,0.0,0.0,0.0,48.243423,187.475662,6.08207869520897,32.477528
-0.8035735839844165,49.078758,1.038395,1.04261,1.107252,0.0,0.0,0.0,0.0,0.0,48.29018,187.326035,6.109160244648317,33.467407
-0.7983426269529446,49.089657,1.032496,1.06823,1.152663,0.0,0.0,0.0,0.0,0.0,48.293564,187.500793,6.059272884811415,33.703094
-0.7924996093747723,49.121483,1.047121,1.056222,1.13624,0.0,0.0,0.0,0.0,0.0,48.311314,187.548965,6.035040876656474,28.706551
-0.786206640625096,49.088795,1.065202,1.051283,1.105193,0.0,0.0,0.0,0.0,0.0,48.248329,187.381989,6.076376452599388,22.955812
-0.7800987304685805,49.063805,1.060455,1.070306,1.11823,0.0,0.0,0.0,0.0,0.0,48.276112,187.465042,6.040743017329256,24.417067
-0.7744996093747432,49.109669,1.031833,1.070027,1.127183,0.0,0.0,0.0,0.0,0.0,48.264332,187.512466,6.019362079510702,22.578716
-0.7694808105466109,49.078552,1.047819,1.051249,1.106554,0.0,0.0,0.0,0.0,0.0,48.280598,187.493698,6.062124057084607,21.635971
-0.7626578125000378,49.083973,1.094818,1.03329,1.098352,0.0,0.0,0.0,0.0,0.0,48.223145,187.477951,6.0649735983690105,24.841301
-0.7573287109375997,49.079914,1.082514,1.122349,1.123675,0.0,0.0,0.0,0.0,0.0,48.235695,187.508255,6.072100611620795,22.390167
-0.7513868164060113,49.055428,1.079914,1.084722,1.153658,0.0,0.0,0.0,0.0,0.0,48.26915,187.476151,6.099182161060142,22.672989
-0.7459427246094492,49.099255,1.038011,1.113081,1.124408,0.0,0.0,0.0,0.0,0.0,48.239269,187.398575,6.086354536187562,27.151024
-0.7404788574217491,49.082272,1.048447,1.042488,1.087601,0.0,0.0,0.0,0.0,0.0,48.244263,187.447495,6.070675739041793,22.578716
-0.7347879394528718,49.075092,1.048064,1.068823,1.10617,0.0,0.0,0.0,0.0,0.0,48.252274,187.376068,6.039318246687054,26.302553
-0.7294849609374978,49.071972,1.033351,1.035472,1.111127,0.0,0.0,0.0,0.0,0.0,48.280701,187.44072,6.089205606523954,25.878319
-0.724462011718515,49.045448,1.048971,1.099556,1.125019,0.0,0.0,0.0,0.0,0.0,48.292046,187.451553,6.0464437308868515,22.437304
